Node,Group,UpBinRatio
ADCYAP1,C6,0.823170731707317
ADIPOQ,C1,0.7085744345081536
ADIPOQ,C2,0.7224944320712695
ADIPOQ,C3,0.5972959922742637
ADIPOQ,C4,0.6079545454545454
ADIPOQ,C5,0.6916890080428955
ADIPOQ,C6,0.7777777777777778
ADIPOR1,C1,0.7076991942703671
ADIPOR1,C2,0.7705930807248764
ADIPOR1,C3,0.6547507055503292
ADIPOR1,C4,0.6005586592178771
ADIPOR1,C5,0.064343163538874
ADIPOR1,C6,0.6993865030674846
ADIPOR2,C1,0.7068039391226499
ADIPOR2,C2,0.7112850082372323
ADIPOR2,C3,0.5374117647058824
ADIPOR2,C4,0.6834264432029795
ADIPOR2,C5,0.9490616621983914
ADIPOR2,C6,0.5548780487804879
ADM,C1,0.7332139659803044
ADM,C2,0.728995057660626
ADM,C3,0.6641580432737535
ADM,C4,0.5912476722532588
ADM,C5,0.13978494623655913
ADM,C6,0.7317073170731707
ADM2,C1,0.7376902417188899
ADM2,C2,0.6758649093904449
ADM2,C3,0.8198494825964252
ADM2,C4,0.43202979515828677
ADM2,C5,0.026881720430107527
ADM2,C6,0.7378048780487805
ADORA2B,C1,0.8169203222918532
ADORA2B,C2,0.7874794069192751
ADORA2B,C3,0.4355597365945437
ADORA2B,C4,0.5176908752327747
ADORA2B,C5,0.7158176943699732
ADORA2B,C6,0.8650306748466258
ADRA2B,C1,0.6695029108822212
ADRA2B,C2,0.5976112026359144
ADRA2B,C3,0.7690498588899342
ADRA2B,C4,0.6657355679702048
ADRA2B,C5,0.5844504021447721
ADRA2B,C6,0.6890243902439024
ADRB2,C1,0.4867890729959696
ADRB2,C2,0.6668039538714992
ADRB2,C3,0.7944496707431796
ADRB2,C4,0.6927374301675978
ADRB2,C5,0.938337801608579
ADRB2,C6,0.8414634146341463
AGRN,C1,0.6781557743957027
AGRN,C2,0.7310543657331137
AGRN,C3,0.7257761053621825
AGRN,C4,0.5381750465549349
AGRN,C5,0.2768817204301075
AGRN,C6,0.6890243902439024
AGRP,C1,0.6119068934646374
AGRP,C2,0.6600741656365884
AGRP,C3,0.6961429915333961
AGRP,C4,0.7048417132216015
AGRP,C5,0.7882037533512064
AGRP,C6,0.774390243902439
AGT,C1,0.6074306177260519
AGT,C2,0.4686985172981878
AGT,C3,0.8410159924741298
AGT,C4,0.7912395153774464
AGT,C5,0.9597855227882037
AGT,C6,0.8353658536585366
AHSG,C1,0.6635220125786163
AHSG,C2,0.7085239085239086
AHSG,C3,0.5842749529190208
AHSG,C4,0.6850467289719626
AHSG,C5,0.9410187667560321
AHSG,C6,0.5925925925925926
ALB,C1,0.5170098478066248
ALB,C2,0.5747836835599506
ALB,C3,0.8381937911571026
ALB,C4,0.75512104283054
ALB,C5,0.9705093833780161
ALB,C6,0.7439024390243902
ALK,C1,0.562667860340197
ALK,C2,0.64153275648949315
ALK,C3,0.7342427093132643
ALK,C4,0.7132216014897579
ALK,C5,0.9597855227882037
ALK,C6,0.7804878048780488
AMELX,C1,0.699105733824303
AMELX,C2,0.6276169265033408
AMELX,C3,0.6890391115403187
AMELX,C4,0.6581439393939394
AMELX,C5,0.6970509383378016
AMELX,C6,0.691358024691358
AMELY,C1,0.6634901727218583
AMELY,C2,0.6592148309705561
AMELY,C3,0.6967011324470704
AMELY,C4,0.6700507614213198
AMELY,C5,0.6246648793565683
AMELY,C6,0.632258064516129
AMFR,C1,0.5640107430617726
AMFR,C2,0.5275947281713345
AMFR,C3,0.8029162746942615
AMFR,C4,0.8164026095060578
AMFR,C5,0.9919571045576407
AMFR,C6,0.8109756097560976
AMH,C1,0.7023276633840645
AMH,C2,0.6588380716934487
AMH,C3,0.5747883349012229
AMH,C4,0.7113594040968343
AMH,C5,0.9651474530831099
AMH,C6,0.6890243902439024
AMHR2,C1,0.6614420062695925
AMHR2,C2,0.6869851729818781
AMHR2,C3,0.7742238946378175
AMHR2,C4,0.5595903165735568
AMHR2,C5,0.27882037533512066
AMHR2,C6,0.7987804878048781
ANGPT1,C1,0.6114592658907789
ANGPT1,C2,0.5939044481054365
ANGPT1,C3,0.8235294117647058
ANGPT1,C4,0.6014897579143389
ANGPT1,C5,0.739946380697051
ANGPT1,C6,0.8963414634146342
ANGPT2,C1,0.7350044762757386
ANGPT2,C2,0.657331136738056
ANGPT2,C3,0.6660395108184384
ANGPT2,C4,0.6393289841565704
ANGPT2,C5,0.38605898123324395
ANGPT2,C6,0.8719512195121951
ANGPT4,C1,0.5770440251572327
ANGPT4,C2,0.5460961623290692
ANGPT4,C3,0.8375120540019286
ANGPT4,C4,0.6415094339622641
ANGPT4,C5,0.9597855227882037
ANGPT4,C6,0.8719512195121951
ANGPTL1,C1,0.5472458575906852
ANGPTL1,C2,0.5889621087314663
ANGPTL1,C3,0.841486359360301
ANGPTL1,C4,0.6405959031657356
ANGPTL1,C5,0.9329758713136729
ANGPTL1,C6,0.9146341463414634
ANGPTL3,C1,0.6624737945492662
ANGPTL3,C2,0.659020732245258
ANGPTL3,C3,0.7608486017357763
ANGPTL3,C4,0.619811320754717
ANGPTL3,C5,0.4316353887399464
ANGPTL3,C6,0.6280487804878049
ANXA1,C1,0.6508504923903312
ANXA1,C2,0.7821252059308073
ANXA1,C3,0.735653809971778
ANXA1,C4,0.4864864864864865
ANXA1,C5,0.09115281501340483
ANXA1,C6,0.9390243902439024
APCDD1,C1,0.7587287376902417
APCDD1,C2,0.7203459637561779
APCDD1,C3,0.5190588235294118
APCDD1,C4,0.5586592178770949
APCDD1,C5,0.9463806970509383
APCDD1,C6,0.774390243902439
APLN,C1,0.7063563115487914
APLN,C2,0.5877265238879736
APLN,C3,0.6164705882352941
APLN,C4,0.7728119180633147
APLN,C5,0.9785522788203753
APLN,C6,0.7134146341463414
APLP2,C1,0.5971351835273053
APLP2,C2,0.5292421746293245
APLP2,C3,0.8696470588235294
APLP2,C4,0.7206703910614525
APLP2,C5,0.67828418230563
APLP2,C6,0.8109756097560976
APOB,C1,0.6188983430362741
APOB,C2,0.5741350906095551
APOB,C3,0.7845719661335842
APOB,C4,0.7039106145251397
APOB,C5,0.7908847184986595
APOB,C6,0.8048780487804879
APOD,C1,0.6844225604297225
APOD,C2,0.6317957166392092
APOD,C3,0.6712135465663217
APOD,C4,0.5945945945945946
APOD,C5,0.938337801608579
APOD,C6,0.9085365853658537
APOE,C1,0.4867890729959696
APOE,C2,0.6927512355848435
APOE,C3,0.7140169332079022
APOE,C4,0.7746741154562383
APOE,C5,0.9705093833780161
APOE,C6,0.8902439024390244
APP,C1,0.6538289296909987
APP,C2,0.5448929159802306
APP,C3,0.7714016933207902
APP,C4,0.6629422718808193
APP,C5,0.9785522788203753
APP,C6,0.774390243902439
AREG,C1,0.8235557545902373
AREG,C2,0.800658978583196
AREG,C3,0.6274694261523989
AREG,C4,0.33147113594040967
AREG,C5,0.032171581769437
AREG,C6,0.8658536585365854
ARF1,C1,0.7627573858549687
ARF1,C2,0.707166392092257
ARF1,C3,0.6876763875823142
ARF1,C4,0.5740913327120224
ARF1,C5,0.03753351206434316
ARF1,C6,0.6951219512195121
ARTN,C1,0.8388540734109221
ARTN,C2,0.8014009064688916
ARTN,C3,0.5296331138287864
ARTN,C4,0.478584729981378
ARTN,C5,0.20107238605898123
ARTN,C6,0.5670731707317073
ASIP,C1,0.5778871978513876
ASIP,C2,0.6291718170580964
ASIP,C3,0.7300094073377235
ASIP,C4,0.7579143389199255
ASIP,C5,0.8632707774798928
ASIP,C6,0.7378048780487805
ATP6AP2,C1,0.6293643688451208
ATP6AP2,C2,0.6462108731466227
ATP6AP2,C3,0.7214117647058823
ATP6AP2,C4,0.6824953445065177
ATP6AP2,C5,0.6863270777479893
ATP6AP2,C6,0.7926829268292683
ATRN,C1,0.5956112852664577
ATRN,C2,0.5584843492586491
ATRN,C3,0.7587017873941675
ATRN,C4,0.7867783985102421
ATRN,C5,0.9865951742627346
ATRN,C6,0.7012195121951219
AVP,C1,0.6442193087008343
AVP,C2,0.6659400544959128
AVP,C3,0.6826022671266634
AVP,C4,0.6720812182741117
AVP,C5,0.7184986595174263
AVP,C6,0.7032258064516129
AZGP1,C1,0.6775931746744499
AZGP1,C2,0.596089850249584
AZGP1,C3,0.6779661016949152
AZGP1,C4,0.7242990654205608
AZGP1,C5,0.8847184986595175
AZGP1,C6,0.7098765432098766
B2M,C1,0.5024630541871922
B2M,C2,0.8657331136738056
B2M,C3,0.7384760112888052
B2M,C4,0.6024208566108007
B2M,C5,0.0938337801608579
B2M,C6,0.9207317073170732
BAMBI,C1,0.7269471799462847
BAMBI,C2,0.6013179571663921
BAMBI,C3,0.6340545625587959
BAMBI,C4,0.7017707362534948
BAMBI,C5,0.8498659517426274
BAMBI,C6,0.7621951219512195
BDNF,C1,0.6806986117330945
BDNF,C2,0.6247940691927513
BDNF,C3,0.761994355597366
BDNF,C4,0.5577281191806331
BDNF,C5,0.7158176943699732
BDNF,C6,0.6341463414634146
BGN,C1,0.7157564905998209
BGN,C2,0.6898682042833608
BGN,C3,0.7718720602069614
BGN,C4,0.5013979496738118
BGN,C5,0.04825737265415549
BGN,C6,0.9512195121951219
BMP10,C1,0.6748064324002382
BMP10,C2,0.6773841961852861
BMP10,C3,0.6650246305418719
BMP10,C4,0.6639593908629442
BMP10,C5,0.6380697050938338
BMP10,C6,0.7161290322580646
BMP15,C1,0.653960690887433
BMP15,C2,0.670299727520436
BMP15,C3,0.6689655172413793
BMP15,C4,0.6771573604060914
BMP15,C5,0.7211796246648794
BMP15,C6,0.6903225806451613
BMP2,C1,0.6705461056401074
BMP2,C2,0.6135146271116605
BMP2,C3,0.7309501411100658
BMP2,C4,0.5772811918063314
BMP2,C5,0.9410187667560321
BMP2,C6,0.7012195121951219
BMP3,C1,0.7739480752014324
BMP3,C2,0.6878088962108732
BMP3,C3,0.6870588235294117
BMP3,C4,0.41899441340782123
BMP3,C5,0.5495978552278821
BMP3,C6,0.6890243902439024
BMP4,C1,0.7256042972247091
BMP4,C2,0.5690152451586321
BMP4,C3,0.7699905926622765
BMP4,C4,0.5335195530726257
BMP4,C5,0.7292225201072386
BMP4,C6,0.8719512195121951
BMP5,C1,0.7860340196956133
BMP5,C2,0.6118665018541409
BMP5,C3,0.731420507996237
BMP5,C4,0.5074487895716946
BMP5,C5,0.4101876675603217
BMP5,C6,0.8109756097560976
BMP6,C1,0.6248880931065354
BMP6,C2,0.6153212520593081
BMP6,C3,0.8231420507996237
BMP6,C4,0.51071761416589
BMP6,C5,0.8445040214477212
BMP6,C6,0.7560975609756098
BMP7,C1,0.7476425684777728
BMP7,C2,0.7000831946755408
BMP7,C3,0.5588512241054614
BMP7,C4,0.5728971962616822
BMP7,C5,0.967828418230563
BMP7,C6,0.5740740740740741
BMPR1A,C1,0.7183161665920287
BMPR1A,C2,0.60667215815486
BMPR1A,C3,0.7060206961429916
BMPR1A,C4,0.5707635009310987
BMPR1A,C5,0.8766756032171582
BMPR1A,C6,0.6646341463414634
BMPR2,C1,0.6248880931065354
BMPR2,C2,0.5797280593325093
BMPR2,C3,0.8090310442144873
BMPR2,C4,0.5642458100558659
BMPR2,C5,0.938337801608579
BMPR2,C6,0.9024390243902439
BST1,C1,0.6709937332139659
BST1,C2,0.7182866556836903
BST1,C3,0.7064910630291628
BST1,C4,0.6169617893755824
BST1,C5,0.16621983914209115
BST1,C6,0.9634146341463414
BTC,C1,0.7126178715761113
BTC,C2,0.6809484193011647
BTC,C3,0.7645951035781544
BTC,C4,0.47289719626168225
BTC,C5,0.3699731903485255
BTC,C6,0.6790123456790124
BTLA,C1,0.6508504923903312
BTLA,C2,0.8385502471169687
BTLA,C3,0.7251764705882353
BTLA,C4,0.34823091247672255
BTLA,C5,0.19839142091152814
BTLA,C6,0.9024390243902439
C14orf1,C1,0.7278424350940018
C14orf1,C2,0.7042833607907742
C14orf1,C3,0.625587958607714
C14orf1,C4,0.6616961789375583
C14orf1,C5,0.46648793565683644
C14orf1,C6,0.4695121951219512
C1QA,C1,0.51589789520824
C1QA,C2,0.78665568369028
C1QA,C3,0.6810912511759172
C1QA,C4,0.6797020484171322
C1QA,C5,0.6273458445040214
C1QA,C6,0.9329268292682927
C1QB,C1,0.5311240483654277
C1QB,C2,0.78665568369028
C1QB,C3,0.6472248353715898
C1QB,C4,0.6797020484171322
C1QB,C5,0.7158176943699732
C1QB,C6,0.9634146341463414
C1QTNF1,C1,0.6674127126230975
C1QTNF1,C2,0.5831960461285008
C1QTNF1,C3,0.8005644402634055
C1QTNF1,C4,0.5787511649580616
C1QTNF1,C5,0.6675603217158177
C1QTNF1,C6,0.9024390243902439
C3,C1,0.5572963294538944
C3,C2,0.699341021416804
C3,C3,0.7468235294117647
C3,C4,0.6480446927374302
C3,C5,0.6809651474530831
C3,C6,0.8963414634146342
C3AR1,C1,0.5308863025962399
C3AR1,C2,0.7495881383855024
C3AR1,C3,0.6895578551269991
C3AR1,C4,0.6365330848089469
C3AR1,C5,0.8364611260053619
C3AR1,C6,0.975609756097561
C4A,C1,0.4977618621307073
C4A,C2,0.5683690280065898
C4A,C3,0.8998118532455315
