From,To,Group,ratioScore
ADAM2,ITGB7,C4,1.0905511811023623
ADAM2,ITGB7,C5,1.2990654205607477
ADAM2,ITGB7,C6,0.9428571428571428
ADAM23,ITGA5,C1,3.4743589743589745
ADAM23,ITGA5,C2,2.2749244712990935
ADAM23,ITGA5,C3,2.1792452830188678
ADAM23,ITGA5,C4,0.8620689655172413
ADAM23,ITGA5,C5,0.05027932960893855
ADAM23,ITGA5,C6,3.3
ADAM23,ITGB3,C1,1.6804407713498624
ADAM23,ITGB3,C2,1.0276243093922652
ADAM23,ITGB3,C3,0.4410011918951132
ADAM23,ITGB3,C4,0.9301675977653632
ADAM23,ITGB3,C5,0.020114942528735632
ADAM23,ITGB3,C6,2.08
ADAM28,ITGA4,C1,2.3904109589041096
ADAM28,ITGA4,C2,3.944954128440367
ADAM28,ITGA4,C3,8.666666666666666
ADAM28,ITGA4,C4,3.859259259259259
ADAM28,ITGA4,C5,0.4676258992805755
ADAM28,ITGA4,C6,24.5
ADAM9,ITGA3,C1,2.1442953020134228
ADAM9,ITGA3,C2,2.1356382978723403
ADAM9,ITGA3,C3,1.5482352941176472
ADAM9,ITGA3,C4,1.8
ADAM9,ITGA3,C5,6.607142857142857
ADAM9,ITGA3,C6,2.909090909090909
ADAM9,ITGA6,C1,2.7253086419753085
ADAM9,ITGA6,C2,2.647222222222222
ADAM9,ITGA6,C3,3.5572916666666665
ADAM9,ITGA6,C4,2.463855421686747
ADAM9,ITGA6,C5,7.95
ADAM9,ITGA6,C6,1.393939393939394
ADAM9,ITGAV,C1,3.156716417910448
ADAM9,ITGAV,C2,4.5
ADAM9,ITGAV,C3,4.659685863874346
ADAM9,ITGAV,C4,6.864197530864198
ADAM9,ITGAV,C5,0.6376811594202898
ADAM9,ITGAV,C6,9.444444444444445
ADAM9,ITGB1,C1,2.9305019305019306
ADAM9,ITGB1,C2,3.363295880149813
ADAM9,ITGB1,C3,2.3765822784810124
ADAM9,ITGB1,C4,1.6077586206896552
ADAM9,ITGB1,C5,7.111111111111111
ADAM9,ITGB1,C6,17.4
ADAM9,ITGB5,C1,1.429805615550756
ADAM9,ITGB5,C2,1.1733576642335766
ADAM9,ITGB5,C3,1.12
ADAM9,ITGB5,C4,1.0379310344827586
ADAM9,ITGB5,C5,7.333333333333333
ADAM9,ITGB5,C6,3.5714285714285716
ADCYAP1,ADCYAP1R1,C1,1.2468354430379747
ADCYAP1,ADCYAP1R1,C2,1.1062124248496994
ADCYAP1,ADCYAP1R1,C3,1.329571106094808
ADCYAP1,ADCYAP1R1,C4,3.1125827814569536
ADCYAP1,ADCYAP1R1,C5,1.7640449438202248
